IDB,AgeYears,Gender,Condition,robot_OE,robot_OE_cat,robot_ability,robot_ability_r,robot_ability_nr,robot_interest,robot_interest_r,robot_interest_nr,robot_structural,robot_structural_r,robot_structural_nr,robot_control,robot_control_r,robot_control_nr,puzzle_OE,puzzle_OE_cat,puzzle_ability,puzzle_ability_r,puzzle_ability_nr,puzzle_interest,puzzle_interest_r,puzzle_interest_nr,puzzle_structural,puzzle_structural_r,puzzle_structural_nr,puzzle_control,puzzle_control_r,puzzle_control_nr
IDB15329,6,Male,Within,because there is boy scientists in the book,structural,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,bc girls are not good at solving puzzles but boys are,intrinsic,Right,Really right,,Right,A little right,,Right,A little right,,Not right,,Really not right
IDB9839,7,Male,Between,I don't know,other,Right,Really right,,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right,I don't know,other,Right,A little right,,Right,A little right,,Not right,,Really not right,Not right,,Really not right
IDB11181,8,Male,Baseline,Because maybe there is no girls in the class,other,Not Right,,A little not right,Right,Really right,,Right,A little right,,Not right,,Really not right,Because maybe they didn't like to do it,intrinsic,Not Right,,Really not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right
Museum1(1/11),6,Male,Baseline,i dont know,other,Not Right,,A little not right,Right,A little right,,Right,Really right,,Not right,,A little not right,they couldn't find where the pieces go,intrinsic,Right,Really right,,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right
Museum2(1/11),8,Female,Within,because the book was only about the boy scientists,structural,Not Right,,Really not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,i dont know,other,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right
Museum3(1/11),7,Male,Within,they made the coolest robots and they kept thinking over and over,intrinsic,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,Not right,,A little not right,they thought it was boring,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right
IDB22265,5,Male,Baseline,because the boys had better robots,intrinsic,Right,Really right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,boys are better at puzzle,intrinsic,Right,Really right,,Not Right,,Really not right,Not right,,A little not right,Not right,,Really not right
IDB26893,5,Male,Between,"IDK, because they didn't build it that well",intrinsic,Right,Really right,,Right,Really right,,Right,A little right,,Not right,,Really not right,because they didn't solve the most puzzles,intrinsic,Right,A little right,,Right,Really right,,Right,Really right,,Not right,,Really not right
IDB13861,8,Male,Between,because they are talking more about scientists who were men instead of women.,structural,Right,Really right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,Maybe they did not read much in the textbook. ,intrinsic,Right,A little right,,Not Right,,Really not right,Right,Really right,,Not right,,Really not right
IDB11300,6,Male,Baseline,they weren't smart enough.,intrinsic,Right,A little right,,Right,Really right,,Right,Really right,,Not right,,Really not right,they weren't smart enough to solve all the puzzles. ,intrinsic,Right,Really right,,Right,A little right,,Right,Really right,,Not right,,Really not right
IDB27436,6,Female,Within,"because there was a boy textbook, because the book was boys.",structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,A little not right,maybe because they got confused. maybe it was too hard for them.,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,A little not right
museum12,5,Female,Baseline,Because they lost,intrinsic,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,Not right,,A little not right,Because they didn't like building puzzles,intrinsic,Right,Really right,,Right,Really right,,Not right,,Really not right,Not right,,Really not right
museum13,5,Female,Between,Because they didn't win,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,A little not right,Right,Really right,,Because they didn't want to,intrinsic,Right,Really right,,Not Right,,Really not right,Right,Really right,,Right,Really right,
museum14,8,Male,Within,Because they just learn about the boy scientists,structural,Not Right,,A little not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Because they propbably learn about too many boy scientists,structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right
IDB10994,7,Female,Within,because i think the boys read the whole entire book ,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,girls were not good at solving puzzles because the cards are flipped over (when boys are doing it cards were not flipped over),other,Right,A little right,,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right
IDB14977,7,Male,Baseline,because they may not be paying attention,intrinsic,Right,A little right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,maybe because it was a boy scientist that was making the puzzle ,structural,Right,Really right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right
IDB26658,7,Female,Between,"because they learned about boy scientists, boys kinda are better engineers than girls",structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,"Maybe because the girls were slower, maybe the boys just like doing puzzles better.",intrinsic,Not Right,,A little not right,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right
IDB11893,8,Female,Between,"because the boys were listening better than the girls, the girls might be doing something wrong (got the wrong pieces)",intrinsic,Right,Really right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,"because the girls have never done a puzzle before, and they didn't know how to do it, and they didn't understand the textbook; boys have done puzzles before so they understood.",intrinsic,Right,A little right,,Right,A little right,,Not right,,Really not right,Not right,,Really not right
IDB10245,7,Female,Baseline,They just couldn't build it,intrinsic,Not Right,,Really not right,Right,A little right,,Right,A little right,,Not right,,Really not right,Maybe they forgot,intrinsic,Not Right,,A little not right,Right,A little right,,Right,A little right,,Not right,,Really not right
IDB11529,5,Male,Within,they had to keep going and no girls won and the boys keep winning. ,intrinsic,Right,A little right,,Right,Really right,,Right,A little right,,Not right,,Really not right,Because they didn't won. ,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Not right,,Really not right
IDB10576,7,Female,Between,boys had more building skills than the girls.,intrinsic,Right,A little right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,because the boys had more skills in building stuff,intrinsic,Right,Really right,,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right
